Label,NodeID,network_behaviour,data_collection_behaviour,Reward_punishment,periode
1,s2_f3,1,0.953333,1,5
1,s2_h3,1,0.966667,1,5
1,s2_h4,1,0.993333,1,5
1,s3_f3,1,0.986667,1,5
1,s3_h3,1,0.993333,1,5
1,s3_h4,1,0.986667,1,5
1,s4_f3,1,0.993333,1,5
1,s4_h3,1,0.993333,1,5
1,s4_h4,1,0.953333,1,5
1,s1_f4,1,1,1,5
1,s1_h5,1,0.975,1,5
1,s2_f4,1,1,1,5
1,s2_h5,1,0.985,1,5
1,s3_f4,1,0.96,1,5
1,s3_h5,1,0.995,1,5
1,s4_f4,1,1,1,5
1,s4_h5,1,0.985,1,5
1,s1_f5,1,0.99,1,5
1,s2_f5,1,0.99,1,5
1,s3_f5,1,0.99,1,5
1,s4_f5,1,0.99,1,5
1,s1_f1,1,1,1,6
1,s1_f2,1,1,1,6
1,s1_h1,1,0.993333,1,6
1,s1_h2,1,0.993333,1,6
1,s2_f1,1,1,1,6
1,s2_f2,1,1,1,6
1,s2_h1,1,0.946667,1,6
1,s2_h2,1,0.986667,1,6
1,s3_f1,1,0.98,1,6
1,s3_f2,1,1,1,6
1,s3_h1,1,0.986667,1,6
1,s3_h2,1,0.953333,1,6
1,s4_f1,1,1,1,6
1,s4_f2,1,0.98,1,6
1,s4_h1,1,0.993333,1,6
1,s4_h2,1,0.993333,1,6
1,s1_f3,1,0.993333,1,6
1,s1_h3,1,0.986667,1,6
1,s1_h4,1,0.993333,1,6
1,s2_f3,1,0.953333,1,6
0.2,s2_h3,1,0,0.303265,6
1,s2_h4,1,0.993333,1,6
1,s3_f3,1,0.986667,1,6
1,s3_h3,1,0.993333,1,6
1,s3_h4,1,0.986667,1,6
1,s4_f3,1,0.993333,1,6
1,s4_h3,1,0.993333,1,6
1,s4_h4,1,0.953333,1,6
1,s1_f4,1,1,1,6
1,s1_h5,1,0.975,1,6
1,s2_f4,1,1,1,6
1,s2_h5,1,0.985,1,6
1,s3_f4,1,0.96,1,6
1,s3_h5,1,0.995,1,6
1,s4_f4,1,1,1,6
1,s4_h5,1,0.985,1,6
1,s1_f5,1,0.99,1,6
1,s2_f5,1,0.99,1,6
1,s3_f5,1,0.99,1,6
1,s4_f5,1,0.99,1,6
1,s1_f1,1,1,1,7
1,s1_f2,1,1,1,7
1,s1_h1,1,0.993333,1,7
0,s1_h2,1,0,0.303265,7
1,s2_f1,1,1,1,7
1,s2_f2,1,1,1,7
1,s2_h1,1,0.946667,1,7
1,s2_h2,1,0.973333,1,7
1,s3_f1,1,0.98,1,7
1,s3_f2,1,1,1,7
1,s3_h1,1,0.986667,1,7
1,s3_h2,1,0.966667,1,7
1,s4_f1,1,1,1,7
1,s4_f2,1,0.98,1,7
1,s4_h1,1,0.993333,1,7
1,s4_h2,1,0.993333,1,7
1,s1_f3,1,0.995333,1,7
1,s1_h3,1,0.995,1,7
1,s1_h4,1,0.993333,1,7
1,s2_f3,1,0.967333,1,7
1,s2_h3,1,0.975,1,7
1,s2_h4,1,0.993333,1,7
1,s3_f3,1,0.990667,1,7
1,s3_h3,1,0.985,1,7
1,s3_h4,1,0.986667,1,7
1,s4_f3,1,0.995333,1,7
1,s4_h3,1,0.985,1,7
1,s4_h4,1,0.953333,1,7
1,s1_f4,1,1,1,7
1,s1_h5,1,0.975,1,7
1,s2_f4,1,1,1,7
1,s2_h5,1,0.985,1,7
1,s3_f4,1,0.96,1,7
