Label,NodeID,Recente,Ancienne,periode
1,s3_f2,1,0.831356,4
1,s3_h1,1,0.411674,4
1,s3_h2,0.993577,0.612338,4
1,s4_f1,0.999862,0.831356,4
1,s4_f2,0.997247,0.829532,4
0.2,s4_h1,1,0.831133,4
1,s4_h2,0.999082,0.831075,4
1,s1_f3,0.999082,0.830748,4
0.6,s1_h3,0,0.521593,4
1,s1_h4,0.702411,0.830748,4
1,s2_f3,0.993577,0.8271,4
1,s2_h3,0.994494,0.82898,4
1,s2_h4,0.998593,0.830748,4
1,s3_f3,0.998165,0.83014,4
1,s3_h3,1,0.830084,4
1,s3_h4,0.998654,0.83014,4
1,s4_f3,0.999082,0.830748,4
1,s4_h3,1,0.830084,4
1,s4_h4,0.993087,0.8271,4
0.6,s1_f4,0.261524,0.521761,4
1,s1_h5,0.996559,0.828211,4
1,s2_f4,0.998165,0.830587,4
1,s2_h5,0.997935,0.830854,4
1,s3_f4,0.99633,0.650016,4
0,s3_h5,0.999312,0.411953,4
1,s4_f4,0.998165,0.830587,4
1,s4_h5,0.997935,0.830854,4
0.2,s1_f5,0.998624,0.830444,4
1,s2_f5,0.998624,0.830444,4
1,s3_f5,0.998624,0.830444,4
1,s4_f5,0.998624,0.830444,4
0.2,s1_f1,1,0.902,5
0,s1_f2,1,0.902058,5
0.6,s1_h1,0.999082,0.901928,5
1,s1_h2,0.70235,0.90151,5
1,s2_f1,1,0.684604,5
1,s2_f2,1,0.902058,5
1,s2_h1,0.998165,0.898525,5
1,s2_h2,0.998562,0.900325,5
1,s3_f1,0.997247,0.899787,5
1,s3_f2,1,0.902058,5
1,s3_h1,0.999082,0.658321,5
1,s3_h2,0.993179,0.772167,5
1,s4_f1,1,0.902,5
1,s4_f2,0.997247,0.899844,5
1,s4_h1,0.261524,0.901928,5
1,s4_h2,0.998685,0.90151,5
1,s1_f3,0.999082,0.90132,5
1,s1_h3,0.496105,0.302923,5
1,s1_h4,0.999082,0.776945,5
1,s2_f3,0.993577,0.896893,5
1,s2_h3,0.99633,0.89837,5
1,s2_h4,0.999082,0.901115,5
1,s3_f3,0.998165,0.900582,5
1,s3_h3,0.998165,0.901319,5
0.4,s3_h4,0.998165,0.900787,5
1,s4_f3,0.999082,0.90132,5
0.2,s4_h3,0.998165,0.901319,5
1,s4_h4,0.993577,0.896688,5
0,s1_f4,0.701677,0.412661,5
0.4,s1_h5,0.994494,0.898788,5
1,s2_f4,0.999602,0.900842,5
1,s2_h5,1,0.9009,5
1,s3_f4,0.994892,0.795203,5
1,s3_h5,0,0.658195,5
1,s4_f4,0.999602,0.900842,5
1,s4_h5,1,0.9009,5
0,s1_f5,0.273178,0.900951,5
1,s2_f5,0.999082,0.900951,5
1,s3_f5,0.999082,0.900951,5
1,s4_f5,0.998165,0.900951,5
1,s1_f1,0.481927,0.943085,6
1,s1_f2,0.261524,0.943119,6
0,s1_h1,0.493535,0.942659,6
1,s1_h2,0.999082,0.818015,6
1,s2_f1,0.999931,0.816829,6
1,s2_f2,0.999082,0.943119,6
1,s2_h1,0.998165,0.940298,6
1,s2_h2,0.998165,0.94151,6
1,s3_f1,0.997316,0.940646,6
1,s3_f2,0.999082,0.943119,6
1,s3_h1,0.999082,0.801181,6
1,s3_h2,0.993577,0.864823,6
1,s4_f1,0.999931,0.943085,6
1,s4_f2,0.998165,0.940679,6
1,s4_h1,0.999082,0.633448,6
1,s4_h2,0.999082,0.942249,6
1,s1_f3,0.999082,0.942306,6
1,s1_h3,1,0.383912,6
1,s1_h4,0.998165,0.870073,6
1,s2_f3,0.993577,0.937426,6
1,s2_h3,0.997247,0.939438,6
1,s2_h4,0.998165,0.942186,6
1,s3_f3,0.998165,0.941492,6
1,s3_h3,0.997247,0.94192,6
1,s3_h4,0.283707,0.941611,6
1,s4_f3,0.999082,0.942306,6
1,s4_h3,0.261524,0.94192,6
1,s4_h4,0.99633,0.937307,6
0,s1_f4,0.261524,0.533826,6
1,s1_h5,0.298389,0.938912,6
1,s2_f4,0.998165,0.942246,6
1,s2_h5,0.999082,0.942446,6
1,s3_f4,0.99633,0.87892,6
1,s3_h5,0.998165,0.382256,6
1,s4_f4,0.998165,0.942246,6
1,s4_h5,0.999082,0.942446,6
1,s1_f5,0.0774968,0.637766,6
1,s2_f5,0.999082,0.942091,6
1,s3_f5,0.999082,0.942091,6
1,s4_f5,0.998165,0.941707,6
1,s1_f1,1,0.749751,7
1,s1_f2,1,0.65737,7
0.4,s1_h1,0,0.75437,7
1,s1_h2,1,0.893925,7
1,s2_f1,1,0.893592,7
1,s2_f2,1,0.966581,7
1,s2_h1,0.997247,0.964558,7
1,s2_h2,0.997798,0.965262,7
1,s3_f1,0.997247,0.964404,7
0.6,s3_f2,1,0.966581,7
1,s3_h1,1,0.884148,7
1,s3_h2,0.997798,0.918801,7
1,s4_f1,1,0.966917,7
1,s4_f2,0.997247,0.964779,7
1,s4_h1,1,0.786735,7
1,s4_h2,1,0.966076,7
1,s1_f3,0.999082,0.966108,7
1,s1_h3,0.999312,0.642198,7
1,s1_h4,0.999082,0.923774,7
1,s2_f3,0.993577,0.960967,7
1,s2_h3,0.996559,0.963674,7
1,s2_h4,0.999082,0.965655,7
1,s3_f3,0.998165,0.965251,7
1,s3_h3,0.997935,0.965115,7
1,s3_h4,0.998165,0.665794,7
1,s4_f3,0.999082,0.966108,7
1,s4_h3,0.997935,0.656674,7
1,s4_h4,0.993577,0.962051,7
0.4,s1_f4,0.261524,0.419668,7
1,s1_h5,0.996559,0.670381,7
1,s2_f4,0.998165,0.965689,7
1,s2_h5,0.997935,0.96619,7
1,s3_f4,0.99633,0.928142,7
1,s3_h5,0.999312,0.640467,7
1,s4_f4,0.998165,0.965689,7
1,s4_h5,0.997935,0.96619,7
0,s1_f5,0.998624,0.402881,7
1,s2_f5,0.998624,0.965984,7
1,s3_f5,0.998624,0.965984,7
1,s4_f5,0.998624,0.965376,7
1,s1_f1,1,0.854664,8
1,s1_f2,0.999511,0.801013,8
0.2,s1_h1,0.322911,0.438111,8
1,s1_h2,1,0.938395,8
1,s2_f1,1,0.938202,8
1,s2_f2,0.999511,0.980591,8
1,s2_h1,0.998165,0.978262,8
1,s2_h2,1,0.978902,8
1,s3_f1,0.997247,0.978173,8
1,s3_f2,0.701493,0.980591,8
1,s3_h1,0.999082,0.932717,8
1,s3_h2,1,0.95192,8
1,s4_f1,1,0.980787,8
1,s4_f2,0.996758,0.978391,8
1,s4_h1,0.999082,0.876143,8
1,s4_h2,1,0.980298,8
1,s1_f3,0.999082,0.979932,8
1,s1_h3,0.999312,0.791913,8
1,s1_h4,0.999082,0.955346,8
1,s2_f3,0.993577,0.974638,8
1,s2_h3,0.996559,0.97746,8
1,s2_h4,0.999082,0.979669,8
1,s3_f3,0.998165,0.97905,8
1,s3_h3,0.997935,0.978875,8
1,s3_h4,0.998165,0.805136,8
1,s4_f3,0.999082,0.979932,8
1,s4_h3,0.997935,0.799743,8
1,s4_h4,0.993577,0.975268,8
0,s1_f4,0.437585,0.353368,8
1,s1_h5,0.996559,0.807127,8
1,s2_f4,0.998165,0.979304,8
1,s2_h5,0.997935,0.979499,8
1,s3_f4,0.99633,0.956729,8
1,s3_h5,0.999312,0.790908,8
1,s4_f4,0.998165,0.979304,8
1,s4_h5,0.997935,0.979499,8
1,s1_f5,0.261524,0.652638,8
1,s2_f5,0.999082,0.979668,8
1,s3_f5,0.999082,0.979668,8
1,s4_f5,0.998165,0.979315,8
1,s1_f1,1,0.915594,9
0.2,s1_f2,1,0.88423,9
0.6,s1_h1,0.261524,0.389815,9
1,s1_h2,1,0.964222,9
1,s2_f1,1,0.96411,9
1,s2_f2,1,0.988523,9
1,s2_h1,0.998165,0.986606,9
