Label,NodeID,Recente,Ancienne,periode,label_experience
0.4,s1_h2,0.998624,0.897343,8,0.9341632000000001
1.0,s2_f1,0.998165,0.977637,8,0.9860032
1.0,s2_f2,0.996834,0.979803,8,0.9860032
1.0,s2_h1,0.991742,0.976018,8,0.9860032
1.0,s2_h2,0.998624,0.650009,8,0.7310732799999999
1.0,s3_f1,0.99633,0.946898,8,0.96609664
1.0,s3_f2,0.701233,0.979803,8,0.8260031999999999
0.2,s3_h1,0.0,0.716758,8,0.39400319999999994
1.0,s3_h2,0.998624,0.932181,8,0.9548992
1.0,s4_f1,0.998165,0.977637,8,0.9860032
1.0,s4_f2,0.999587,0.979179,8,0.9860032
1.0,s4_h1,1.0,0.930152,8,0.9548992
1.0,s4_h2,0.998624,0.979744,8,0.9860032
0.0,s1_f3,0.998624,0.338676,8,0.5891008
0.0,s1_h3,0.383747,0.61144,8,0.43657088000000005
1.0,s1_h4,0.0,0.980764,8,0.5860032
1.0,s2_f3,0.995871,0.976536,8,0.9860032
1.0,s2_h3,0.997247,0.977417,8,0.9860032
1.0,s2_h4,0.994494,0.950746,8,0.9652672
1.0,s3_f3,0.995871,0.977152,8,0.9860032
1.0,s3_h3,1.0,0.980064,8,0.9860032
0.6,s3_h4,1.0,0.96036,8,0.97107328
1.0,s4_f3,0.998624,0.979799,8,0.9860032
1.0,s4_h3,0.997247,0.895891,8,0.9341632000000001
1.0,s4_h4,1.0,0.980764,8,0.9860032
0.6,s1_f4,0.999082,0.656755,8,0.6798784
0.0,s1_h5,0.261524,0.87564,8,0.4996032
1.0,s2_f4,0.998165,0.978449,8,0.9860032
1.0,s2_h5,0.999082,0.897886,8,0.9341632000000001
1.0,s3_f4,0.643471,0.898181,8,0.6141632000000001
1.0,s3_h5,0.99633,0.97864,8,0.9860032
1.0,s4_f4,0.999082,0.980302,8,0.9860032
1.0,s4_h5,0.995412,0.975048,8,0.9860032
1.0,s1_f5,0.998624,0.711586,8,0.7517632
1.0,s2_f5,0.995871,0.947783,8,0.96112
1.0,s3_f5,0.998624,0.978989,8,0.9860032
0.0,s4_f5,0.995871,0.976342,8,0.9860032
1.0,s1_f1,0.0,0.8424,9,0.48316032
0.6,s1_f2,0.261524,0.678694,9,0.417778944
1.0,s1_h1,0.995114,0.726466,9,0.8132999679999999
0.0,s1_h2,0.429143,0.939803,9,0.72049792
1.0,s2_f1,1.0,0.986243,9,0.99160192
1.0,s2_f2,0.999082,0.986943,9,0.99160192
1.0,s2_h1,0.996628,0.98261,9,0.99160192
1.0,s2_h2,0.998165,0.796161,9,0.838643968
1.0,s3_f1,0.994494,0.967622,9,0.9796579839999999
1.0,s3_f2,0.999082,0.863017,9,0.8956019199999999
1.0,s3_h1,0.478073,0.416267,9,0.31640192
1.0,s3_h2,0.999082,0.960036,9,0.97293952
1.0,s4_f1,1.0,0.986243,9,0.99160192
1.0,s4_f2,0.998165,0.987735,9,0.99160192
0.6,s4_h1,0.995114,0.959435,9,0.97293952
1.0,s4_h2,0.999082,0.987659,9,0.99160192
0.0,s1_f3,0.0774968,0.615349,9,0.35346047999999997
0.0,s1_h3,0.261524,0.515983,9,0.261942528
1.0,s1_h4,0.997408,0.569593,9,0.7516019199999999
1.0,s2_f3,0.995412,0.984642,9,0.99160192
1.0,s2_h3,0.997247,0.98573,9,0.99160192
1.0,s2_h4,0.997087,0.969087,9,0.97916032
1.0,s3_f3,0.99633,0.984999,9,0.99160192
1.0,s3_h3,1.0,0.988422,9,0.99160192
1.0,s3_h4,0.700201,0.976978,9,0.822643968
1.0,s4_f3,0.999082,0.987691,9,0.99160192
1.0,s4_h3,0.997247,0.938383,9,0.96049792
1.0,s4_h4,0.997408,0.988828,9,0.99160192
1.0,s1_f4,0.696691,0.800271,9,0.6479270399999999
1.0,s1_h5,0.0,0.61818,9,0.29976192
1.0,s2_f4,0.998165,0.986715,9,0.99160192
1.0,s2_h5,0.999082,0.940311,9,0.96049792
0.0,s3_f4,0.999082,0.791397,9,0.7684979200000002
1.0,s3_h5,0.99633,0.986056,9,0.99160192
1.0,s4_f4,0.999082,0.988176,9,0.99160192
1.0,s4_h5,0.995412,0.983585,9,0.99160192
1.0,s1_f5,1.0,0.831922,9,0.8510579199999999
1.0,s2_f5,0.997247,0.967943,9,0.976672
1.0,s3_f5,0.997247,0.987221,9,0.99160192
0.6,s4_f5,0.0,0.984529,9,0.59160192
1.0,s1_f1,0.995183,0.489236,10,0.689896192
1.0,s1_f2,0.506198,0.503801,10,0.49066736639999997
0.4,s1_h1,0.9961,0.839093,10,0.8879799808
1.0,s1_h2,0.0,0.725716,10,0.432298752
1.0,s2_f1,0.996559,0.99201,10,0.994961152
1.0,s2_f2,0.999082,0.992033,10,0.994961152
1.0,s2_h1,0.995641,0.988487,10,0.994961152
1.0,s2_h2,0.997247,0.880848,10,0.9031863808
1.0,s3_f1,0.997935,0.978888,10,0.9877947904
1.0,s3_f2,0.999082,0.92006,10,0.9373611519999999
1.0,s3_h1,0.998853,0.442179,10,0.589841152
1.0,s3_h2,1.0,0.976406,10,0.983763712
1.0,s4_f1,0.996559,0.99201,10,0.994961152
1.0,s4_f2,0.998165,0.992107,10,0.994961152
1.0,s4_h1,0.701784,0.974393,10,0.823763712
1.0,s4_h2,1.0,0.992448,10,0.994961152
0.0,s1_f3,0.261524,0.389862,10,0.21207628799999997
0.4,s1_h3,0.0,0.409305,10,0.1571655168
1.0,s1_h4,1.0,0.748948,10,0.850961152
1.0,s2_f3,0.995412,0.989157,10,0.994961152
1.0,s2_h3,0.997247,0.990559,10,0.994961152
1.0,s2_h4,0.994494,0.980825,10,0.9874961919999999
1.0,s3_f3,0.99633,0.989749,10,0.994961152
1.0,s3_h3,1.0,0.993276,10,0.994961152
1.0,s3_h4,1.0,0.860943,10,0.8935863808
1.0,s4_f3,0.999082,0.992467,10,0.994961152
1.0,s4_h3,0.997247,0.963061,10,0.976298752
1.0,s4_h4,1.0,0.992425,10,0.994961152
1.0,s1_f4,1.0,0.756847,10,0.7887562239999999
0.0,s1_h5,0.999082,0.359017,10,0.579857152
1.0,s2_f4,0.997247,0.991515,10,0.994961152
