SC,SP,Periode,Device_trust,Friendship,Localisation,Reputation,Experiance
f5,f4,8,0.996132,0.333333,0.552963,0.5,0.5
f1,f3,8,0.996202,0.333333,0.502559,0.6,0.5
f1,f4,8,0.996132,0.333333,0.163344,0.5,0.5
f1,f5,8,0.995247,0.666667,0.0983332,0.5,0.5
f3,f1,8,0.995292,0.333333,0.502559,0.5,0.7
f3,f4,8,0.996132,0.666667,0.634183,0.5,0.5
f3,f5,8,0.995247,0.333333,0.375065,0.5,0.5
h1,f1,8,0.995292,0,0.750855,0.5,0.5
h1,f3,8,0.996202,0.5,0.4744,0.6,0.7
h1,f4,8,0.996132,0.5,0.212492,0.5,0.5
h1,f5,8,0.995247,0.5,0.269286,0.5,0.5
h5,f1,8,0.995292,0.333333,0.119574,0.5,0.5
h5,f3,8,0.996202,0.333333,0.517238,0.6,0.78
h5,f4,8,0.996132,0.333333,0.793936,0.5,0.925
h5,f5,8,0.995247,0.333333,0.750669,0.5,0.957143
f2,f4,9,0.997202,0.25,0.292101,0.5,0.5
h1,f2,9,0.997767,0.5,0.556362,0.6,0.352
h1,f3,9,0.997794,0.5,0.4744,0.6,0.49
h1,f4,9,0.997202,0.5,0.212492,0.5,0.5
f2,f1,9,0.996881,0.5,0.742268,0.6,0.583333
f2,f3,9,0.997794,0.25,0.657919,0.6,0.7
f2,f4,9,0.997202,0.25,0.292101,0.5,0.7
f3,f1,9,0.996881,0.333333,0.502559,0.6,0.85
f3,f2,9,0.997767,0.333333,0.657919,0.6,0.7
f3,f4,9,0.997202,0.666667,0.634183,0.5,0.5
h2,f1,9,0.996881,0.5,0.685799,0.6,0.5
h2,f2,9,0.997767,0.5,0.768221,0.6,0.5
h2,f3,9,0.997794,0.5,0.428662,0.6,0.85
h2,f4,9,0.997202,0,0.0635079,0.5,0.5
h2,f5,9,0.996855,0.5,0,0.6,0.5
h5,f1,9,0.996881,0.333333,0.119574,0.6,0.5
h5,f2,9,0.997767,0.333333,0.191639,0.6,0.5
h5,f3,9,0.997794,0.333333,0.517238,0.6,0.78
h5,f4,9,0.997202,0.333333,0.793936,0.5,0.925
h5,f5,9,0.996855,0.333333,0.750669,0.6,0.9625
f2,f1,9,0.996881,0.5,0.742268,0.6,0.583333
f2,f3,9,0.997794,0.25,0.657919,0.6,0.85
f2,f4,9,0.997202,0.25,0.292101,0.5,0.7
f2,f5,9,0.996855,0.75,0.0994279,0.6,0.7
h3,f1,9,0.996881,0.5,0.659381,0.6,0.925
h3,f2,9,0.997767,0.5,0.851998,0.6,0.85
h3,f4,9,0.997202,0.5,0.440104,0.5,0.5
h3,f5,9,0.996855,0,0.225157,0.6,0.5
h1,f3,10,0.998719,0.5,0.4744,0.6,0.72
f1,f3,10,0.998719,0.333333,0.502559,0.6,0.5
h4,f3,10,0.998719,0.5,0.83245,0.6,0.85
h4,f4,10,0.998086,0.5,0.801733,0.5,0.7
h5,f3,10,0.998719,0.333333,0.517238,0.6,0.78
h5,f4,10,0.998086,0.333333,0.793936,0.5,0.925
f3,f4,10,0.998086,0.666667,0.634183,0.5,0.5
f3,h3,10,0.997671,0.333333,0.805921,0.5,0.585714
f4,f3,10,0.998719,1,0.634183,0.6,0.7
f4,h3,10,0.997671,0.5,0.440104,0.5,0.5
f2,f1,10,0.997804,0.5,0.742268,0.6,0.583333
f2,f3,10,0.998719,0.25,0.657919,0.6,0.9
f2,f4,10,0.998086,0.25,0.292101,0.5,0.7
f2,h2,10,0.998702,0.25,0.768221,0.5,0.5
f2,h3,10,0.997671,0.25,0.851998,0.5,0.5
f4,f1,10,0.997804,0.5,0.163344,0.6,0.5
f4,f3,10,0.998719,1,0.634183,0.6,0.85
f4,h2,10,0.998702,0,0.0635079,0.5,0.5
f4,h3,10,0.997671,0.5,0.440104,0.5,0.5
f1,f3,10,0.998719,0.333333,0.502559,0.6,0.7
f1,f4,10,0.998086,0.333333,0.163344,0.5,0.5
f1,h2,10,0.998702,0.333333,0.685799,0.5,0.7
f1,h3,10,0.997671,0.333333,0.659381,0.5,0.7
f1,h2,10,0.998702,0.333333,0.685799,0.5,0.7
f1,h3,10,0.997671,0.333333,0.659381,0.5,0.7
f1,f3,10,0.998719,0.333333,0.502559,0.6,0.7
f1,f4,10,0.998086,0.333333,0.163344,0.5,0.5
h5,h1,11,0.998299,0.333333,0.228055,0.5,0.5
f4,h1,11,0.998299,0.5,0.212492,0.5,0.5
f4,h2,11,0.999246,0,0.0635079,0.5,0.5
h3,f4,11,0.998623,0.5,0.440104,0.6,0.5
h3,h1,11,0.998299,0.5,0.550043,0.5,0.5
h3,h2,11,0.999246,0,0.621867,0.5,0.5
f2,f4,11,0.998623,0.25,0.292101,0.6,0.7
f2,h1,11,0.998299,0.25,0.556362,0.5,0.5
f2,h2,11,0.999246,0.25,0.768221,0.5,0.5
h2,f4,11,0.998623,0,0.0635079,0.6,0.5
h2,h1,11,0.998299,0.5,0.43937,0.5,0.5
f4,h2,11,0.999246,0,0.0635079,0.5,0.5
f2,f4,11,0.998623,0.25,0.292101,0.6,0.7
f2,h2,11,0.999246,0.25,0.768221,0.5,0.7
h5,f4,11,0.998623,0.333333,0.793936,0.6,0.94
h5,h2,11,0.999246,0.666667,0,0.5,0.5
h5,f4,11,0.998623,0.333333,0.793936,0.6,0.94
h5,h2,11,0.999246,0.666667,0,0.5,0.5
h5,f5,11,0.998331,0.333333,0.750669,0.6,0.966667
f2,f5,12,0.998646,0.75,0.0994279,0.6,0.7
f4,f3,12,0.999568,1,0.634183,0.64,0.9
h3,f1,12,0.99847,0.5,0.659381,0.6,0.94
h3,f3,12,0.999568,0.5,0.805921,0.64,0.5
h3,f4,12,0.997086,0.5,0.440104,0.6,0.7
h5,f1,12,0.99847,0.333333,0.119574,0.6,0.5
h5,f2,12,0.999563,0.333333,0.191639,0.6,0.5
h5,f3,12,0.999568,0.333333,0.517238,0.64,0.78
h5,f4,12,0.997086,0.333333,0.793936,0.6,0.95
h5,h1,12,0.998627,0.333333,0.228055,0.5,0.321053
f3,f1,12,0.99847,0.333333,0.502559,0.6,0.9
f3,f2,12,0.999563,0.333333,0.657919,0.6,0.7
f3,f4,12,0.997086,0.666667,0.634183,0.6,0.5
f3,h1,12,0.998627,0.333333,0.4744,0.5,0.5
h4,f1,12,0.99847,0.5,0.350769,0.6,0.5
h4,f2,12,0.999563,0.5,0.490369,0.6,0.7
h4,f3,12,0.999568,0.5,0.83245,0.64,0.85
