Label,NodeID,knowledge,experiance,periode,label_experience,Label_final
1.0,s2_h5,0.999082,0.998492,13,0.998911608832,0.999727902208
0.2,s3_f4,0.998532,0.923513,13,0.8534604206080001,0.36336510515200005
0.0,s3_h5,0.261524,0.997287,13,0.998911608832,0.249727902208
1.0,s4_f4,0.999358,0.989756,13,0.9877141688319999,0.996928542208
1.0,s4_h5,0.999082,0.961813,13,0.9548274700288,0.9887068675071999
0.0,s1_f5,0.0,0.745334,13,0.7763637735424,0.1940909433856
1.0,s2_f5,1.0,0.688259,13,0.598911608832,0.899727902208
1.0,s3_f5,1.0,0.835698,13,0.827609761792,0.956902440448
1.0,s4_f5,1.0,0.998082,13,0.997299177472,0.999324794368
1.0,s1_f1,0.995412,0.767848,14,0.7507597570047999,0.9376899392511999
0.4,s1_f2,0.544829,0.685854,14,0.66663849680896,0.46665962420224005
1.0,s1_h1,1.0,0.564781,14,0.6290563182592,0.9072640795648
0.4,s1_h2,0.286024,0.368578,14,0.34850489425919995,0.38712622356480003
1.0,s2_f1,0.99633,0.817249,14,0.8073469652992,0.9518367413248
1.0,s2_f2,0.99633,0.992738,14,0.8553469652992001,0.9638367413248
1.0,s2_h1,1.0,0.997192,14,0.9993469652992,0.9998367413247999
1.0,s2_h2,1.0,0.996821,14,0.9993469652992,0.9998367413247999
0.4,s3_f1,0.293686,0.579092,14,0.5592850132992,0.43982125332480004
1.0,s3_f2,0.999082,0.574349,14,0.5926285012992,0.8981571253248
0.2,s3_h1,0.261524,0.850827,14,0.86826181255168,0.36706545313792005
1.0,s3_h2,1.0,0.991749,14,0.9903890132992,0.9975972533248
1.0,s4_f1,0.999082,0.998461,14,0.9993469652992,0.9998367413247999
1.0,s4_f2,0.995412,0.97705,14,0.9682429652992001,0.9920607413248
1.0,s4_h1,1.0,0.885942,14,0.8934138523648001,0.9733534630912
1.0,s4_h2,1.0,0.894065,14,0.85499868012544,0.96374967003136
0.0,s1_f3,0.0,0.775531,14,0.74975941255168,0.18743985313792
1.0,s1_h3,1.0,0.580609,14,0.45328855326719997,0.8633221383167999
0.0,s1_h4,0.0,0.692567,14,0.5825788735487999,0.14564471838719997
1.0,s2_f3,0.997247,0.996835,14,0.9993469652992,0.9998367413247999
0.6,s2_h3,0.702472,0.998441,14,0.9993469652992,0.6998367413247999
1.0,s2_h4,1.0,0.99303,14,0.9926285012992,0.9981571253248
1.0,s3_f3,1.0,0.99879,14,0.9993469652992,0.9998367413247999
1.0,s3_h3,1.0,0.755635,14,0.7593469652992,0.9398367413248
1.0,s3_h4,0.991742,0.978491,14,0.9786109652992,0.9946527413248
1.0,s4_f3,1.0,0.579939,14,0.5993469652992,0.8998367413248
1.0,s4_h3,1.0,0.89413,14,0.88362453753856,0.97090613438464
1.0,s4_h4,1.0,0.998431,14,0.9993469652992,0.9998367413247999
0.6,s1_f4,0.701371,0.786523,14,0.60870946054144,0.6021773651353599
1.0,s1_h5,1.0,0.704043,14,0.6623600177152,0.9155900044288
1.0,s2_f4,0.991191,0.983911,14,0.9881495252992,0.9970373813248
1.0,s2_h5,0.997247,0.99874,14,0.9993469652992,0.9998367413247999
1.0,s3_f4,0.999449,0.954963,14,0.5920762523648,0.8980190630911999
1.0,s3_h5,1.0,0.688829,14,0.5993469652992,0.8998367413248
1.0,s4_f4,0.999449,0.993781,14,0.9926285012992,0.9981571253248
0.0,s4_h5,0.0,0.977438,14,0.97289648201728,0.24322412050432
1.0,s1_f5,1.0,0.432863,14,0.46581826412544003,0.8664545660313601
1.0,s2_f5,1.0,0.818952,14,0.7593469652992,0.9398367413248
0.0,s3_f5,0.261524,0.904579,14,0.8965658570752,0.2241414642688
1.0,s4_f5,1.0,0.998886,14,0.9983795064832001,0.9995948766208
1.0,s1_f1,0.995504,0.863251,15,0.85045585420288,0.96261396355072
0.6,s1_f2,0.656042,0.626731,15,0.559983098085376,0.589995774521344
0.2,s1_h1,0.484473,0.74724,15,0.77743379095552,0.34435844773888
0.0,s1_h2,0.261524,0.333969,15,0.36910293655551996,0.09227573413887999
1.0,s2_f1,0.996513,0.892326,15,0.88440817917952,0.9711020447948799
1.0,s2_f2,0.99633,0.994244,15,0.91320817917952,0.97830204479488
1.0,s2_h1,1.0,0.998369,15,0.9996081791795199,0.99990204479488
1.0,s2_h2,1.0,0.998154,15,0.9996081791795199,0.99990204479488
0.0,s3_f1,0.261524,0.459439,15,0.49557100797952003,0.12389275199488001
1.0,s3_f2,0.999082,0.752412,15,0.75557710077952,0.93889427519488
1.0,s3_h1,1.0,0.60377,15,0.600957087531008,0.900239271882752
1.0,s3_h2,1.0,0.995208,15,0.99423340797952,0.99855835199488
1.0,s4_f1,0.998991,0.998721,15,0.9996081791795199,0.99990204479488
1.0,s4_f2,0.995412,0.984748,15,0.9809457791795201,0.99523644479488
1.0,s4_h1,1.0,0.933759,15,0.93604831141888,0.98401207785472
1.0,s4_h2,1.0,0.938476,15,0.912999208075264,0.978249802018816
1.0,s1_f3,0.993577,0.450401,15,0.449855647531008,0.862463911882752
1.0,s1_h3,1.0,0.756433,15,0.6719731319603199,0.91799328299008
0.0,s1_h4,0.0,0.402218,15,0.3495473241292799,0.08738683103231998
1.0,s2_f3,0.998165,0.997008,15,0.9996081791795199,0.99990204479488
1.0,s2_h3,1.0,0.87436,15,0.8396081791795199,0.95990204479488
1.0,s2_h4,1.0,0.995952,15,0.99557710077952,0.9988942751948799
1.0,s3_f3,0.999082,0.999298,15,0.9996081791795199,0.99990204479488
0.0,s3_h3,0.0,0.858081,15,0.85560817917952,0.21390204479488
1.0,s3_h4,0.991742,0.984046,15,0.98716657917952,0.99679164479488
1.0,s4_f3,0.999082,0.756044,15,0.75960817917952,0.93990204479488
1.0,s4_h3,1.0,0.938515,15,0.9301747225231359,0.982543680630784
1.0,s4_h4,1.0,0.999089,15,0.9996081791795199,0.99990204479488
1.0,s1_f4,0.997867,0.750824,15,0.605225676324864,0.901306419081216
0.0,s1_h5,0.0,0.828119,15,0.79741601062912,0.19935400265728
1.0,s2_f4,0.992361,0.986963,15,0.99288971517952,0.99822242879488
1.0,s2_h5,1.0,0.998114,15,0.9996081791795199,0.99990204479488
0.2,s3_f4,0.47532,0.973614,15,0.75524575141888,0.33881143785472
1.0,s3_h5,0.997247,0.819283,15,0.75960817917952,0.93990204479488
1.0,s4_f4,0.999381,0.996158,15,0.99557710077952,0.9988942751948799
1.0,s4_h5,1.0,0.567661,15,0.583737889210368,0.8959344723025919
0.2,s1_f5,0.261524,0.670627,15,0.679490958475264,0.319872739618816
1.0,s2_f5,1.0,0.894854,15,0.85560817917952,0.9639020447948801
1.0,s3_f5,1.0,0.634988,15,0.53793951424512,0.88448487856128
1.0,s4_f5,1.0,0.999353,15,0.99902770388992,0.99975692597248
