SC,SP,Periode,Device_trust,Friendship,Localisation,Reputation,Experiance
h5,f1,22,0.999992,0.333333,0.119574,0.560741,0.5
h5,f3,22,0.999805,0.333333,0.517238,0.565381,0.8125
h1,f1,22,0.999992,0,0.750855,0.560741,0.5
h1,f3,22,0.999805,0.5,0.4744,0.565381,0.34
h2,f1,22,0.999992,0.5,0.685799,0.560741,0.5
h2,f3,22,0.999805,0.5,0.428662,0.565381,0.7
f4,f1,22,0.999992,0.5,0.163344,0.560741,0.46
f4,f2,22,0.99989,0.5,0.292101,0.646451,0.94
h4,f1,22,0.999992,0.5,0.350769,0.560741,0.7
h4,f2,22,0.99989,0.5,0.490369,0.646451,0.5
h4,h1,22,0.999941,0.5,0.367107,0.6,0.9
h2,f1,22,0.999992,0.5,0.685799,0.560741,0.5
h2,f2,22,0.99989,0.5,0.768221,0.646451,0.5
h2,h1,22,0.999941,0.5,0.43937,0.6,0.5
h2,f1,22,0.999992,0.5,0.685799,0.560741,0.5
h2,h1,22,0.999941,0.5,0.43937,0.6,0.5
f3,f2,23,0.999936,0.333333,0.657919,0.646451,0.94
f3,f4,23,0.998369,0.666667,0.634183,0.6,0.85
f1,f3,23,0.998291,0.333333,0.502559,0.565381,0.4
f1,f4,23,0.998369,0.333333,0.163344,0.6,0.5
h5,f2,23,0.999936,0.333333,0.191639,0.646451,0.925
h5,f3,23,0.998291,0.333333,0.517238,0.565381,0.8125
h5,f4,23,0.998369,0.333333,0.793936,0.6,0.85
f1,f3,23,0.998291,0.333333,0.502559,0.565381,0.4
f1,f2,23,0.999936,0.666667,0.742268,0.646451,0.85
f1,f4,23,0.998369,0.333333,0.163344,0.6,0.4
f1,f3,23,0.998291,0.333333,0.502559,0.565381,0.4
f1,f4,23,0.998369,0.333333,0.163344,0.6,0.4
f1,f2,23,0.999936,0.666667,0.742268,0.646451,0.9
h4,f2,23,0.999936,0.5,0.490369,0.646451,0.5
h4,f3,23,0.998291,0.5,0.83245,0.565381,0.62
h4,f4,23,0.998369,0.5,0.801733,0.6,0.5
f1,h1,24,0.99998,0,0.750855,0.6,0.5
h2,f1,24,0.999997,0.5,0.685799,0.560741,0.62
f4,f5,25,0.996203,0.5,0.552963,0.591667,0.7
f4,h4,25,1,0.5,0.801733,0.5,0.62
f4,f5,25,0.996203,0.5,0.552963,0.591667,0.7
f4,h4,25,1,0.5,0.801733,0.5,0.62
f4,f1,25,0.999998,0.5,0.163344,0.560741,0.46
f4,h1,25,0.999989,0.5,0.212492,0.6,0.7
f5,f1,25,0.999998,0.666667,0.0983332,0.560741,0.5
f5,f3,25,0.999424,0.333333,0.375065,0.565381,0.5
f5,f4,25,0.993577,0.333333,0.552963,0.6,0.85
f5,h1,25,0.999989,0.333333,0.269286,0.6,0.5
f5,h4,25,1,0,0.480404,0.5,0.5
f2,f5,26,0.99655,0.75,0.0994279,0.591667,0.85
f2,h1,26,0.999993,0.25,0.556362,0.6,0.433333
h4,f5,26,0.99655,0,0.480404,0.591667,0.5
h4,h1,26,0.999993,0.5,0.367107,0.6,0.525
h3,f5,26,0.99655,0,0.225157,0.591667,0.5
h3,h1,26,0.999993,0.5,0.550043,0.6,0.7
h3,h4,26,1,1,0.638371,0.5,0.73
h5,f4,26,0.9955,0.333333,0.793936,0.6,0.9
h5,f5,26,0.99655,0.333333,0.750669,0.591667,0.38
h5,h1,26,0.999993,0.333333,0.228055,0.6,0.45
h5,h3,26,0.99996,0.666667,0.334537,0.56,0.46
h5,h4,26,1,0.666667,0.664526,0.5,0.5
h5,h4,26,1,0.666667,0.664526,0.5,0.5
h5,h3,26,0.99996,0.666667,0.334537,0.56,0.46
h5,f5,26,0.99655,0.333333,0.750669,0.591667,0.38
h5,h1,26,0.999993,0.333333,0.228055,0.6,0.45
h5,f2,26,0.999988,0.333333,0.191639,0.672462,0.925
f1,f2,26,0.999988,0.666667,0.742268,0.672462,0.925
f1,f5,26,0.99655,0.666667,0.0983332,0.591667,0.8
f1,h1,26,0.999993,0,0.750855,0.6,0.4
f1,h3,26,0.99996,0.333333,0.659381,0.56,0.38
f1,h4,26,1,0.333333,0.350769,0.5,0.85
h5,h4,26,1,0.666667,0.664526,0.5,0.5
h5,h3,26,0.99996,0.666667,0.334537,0.56,0.46
h5,f5,26,0.99655,0.333333,0.750669,0.591667,0.38
h5,h1,26,0.999993,0.333333,0.228055,0.6,0.45
h5,f2,26,0.999988,0.333333,0.191639,0.672462,0.94
h5,f2,26,0.999988,0.333333,0.191639,0.672462,0.94
h5,h4,26,1,0.666667,0.664526,0.5,0.5
h5,h3,26,0.99996,0.666667,0.334537,0.56,0.46
h5,f5,26,0.99655,0.333333,0.750669,0.591667,0.38
h5,h1,26,0.999993,0.333333,0.228055,0.6,0.45
h1,f3,27,0.999806,0.5,0.4744,0.565381,0.34
h1,f4,27,0.984067,0.5,0.212492,0.6,0.38
f1,f2,27,0.999993,0.666667,0.742268,0.672462,0.94
f1,f3,27,0.999806,0.333333,0.502559,0.565381,0.4
f1,f4,27,0.984067,0.333333,0.163344,0.6,0.4
f1,h1,27,0.999996,0,0.750855,0.6,0.4
f5,f2,27,0.999993,1,0.0994279,0.672462,0.433333
f5,f3,27,0.999806,0.333333,0.375065,0.565381,0.5
f5,f4,27,0.984067,0.333333,0.552963,0.6,0.9
f5,h1,27,0.999996,0.333333,0.269286,0.6,0.5
f5,h4,27,1,0,0.480404,0.585,0.5
f4,f1,27,0.999999,0.5,0.163344,0.560741,0.46
f4,f2,27,0.999993,0.5,0.292101,0.672462,0.71
f4,f3,27,0.999806,1,0.634183,0.565381,0.802857
f4,h1,27,0.999996,0.5,0.212492,0.6,0.7
f4,h4,27,1,0.5,0.801733,0.585,0.62
f2,f4,28,0.982324,0.25,0.292101,0.6,0.7
f2,h4,28,1,0.25,0.490369,0.585,0.5
f2,h5,28,0.999953,0.25,0.191639,0.5,0.5
f2,h4,28,1,0.25,0.490369,0.585,0.5
f2,h5,28,0.999953,0.25,0.191639,0.5,0.5
f2,f3,28,0.999887,0.25,0.657919,0.626102,0.85
f2,h1,28,0.999998,0.25,0.556362,0.6,0.433333
f3,f2,28,0.999996,0.333333,0.657919,0.672462,0.95
f3,h1,28,0.999998,0.333333,0.4744,0.6,0.5
f3,h4,28,1,0.333333,0.83245,0.585,0.6
f3,h5,28,0.999953,0.333333,0.517238,0.5,0.5
h1,f2,28,0.999996,0.5,0.556362,0.672462,0.47
h1,h4,28,1,0.5,0.367107,0.585,0.34
h1,h5,28,0.999953,0.5,0.228055,0.5,0.5
f2,h4,28,1,0.25,0.490369,0.585,0.5
f2,h1,28,0.999998,0.25,0.556362,0.6,0.433333
f2,h5,28,0.999953,0.25,0.191639,0.5,0.5
f3,h1,28,0.999998,0.333333,0.4744,0.6,0.5
f3,h5,28,0.999953,0.333333,0.517238,0.5,0.5
f3,f2,28,0.999996,0.333333,0.657919,0.672462,0.957143
h1,f3,29,0.999934,0.5,0.4744,0.626102,0.34
f1,f3,29,0.999934,0.333333,0.502559,0.626102,0.4
h3,f1,29,1,0.5,0.659381,0.560741,0.8
h3,f3,29,0.999934,0.5,0.805921,0.626102,0.620833
h1,f3,29,0.999934,0.5,0.4744,0.626102,0.34
h1,f1,29,1,0,0.750855,0.560741,0.66
h2,f3,29,0.999934,0.5,0.428662,0.626102,0.85
f5,f3,29,0.999934,0.333333,0.375065,0.626102,0.5
h1,f3,31,0.999978,0.5,0.4744,0.626102,0.34
h1,f4,31,0.997177,0.5,0.212492,0.6,0.38
h2,f3,31,0.999978,0.5,0.428662,0.626102,0.9
h2,f4,31,0.997177,0,0.0635079,0.6,0.5
f2,f3,31,0.999978,0.25,0.657919,0.626102,0.66
f2,f4,31,0.997177,0.25,0.292101,0.6,0.85
h3,f3,31,0.999978,0.5,0.805921,0.626102,0.620833
h3,f4,31,0.997177,0.5,0.440104,0.6,0.5
f5,f3,31,0.999978,0.333333,0.375065,0.626102,0.62
f5,f4,31,0.997177,0.333333,0.552963,0.6,0.925
f3,f2,31,0.999999,0.333333,0.657919,0.685563,0.9625
h3,f3,31,0.999978,0.5,0.805921,0.626102,0.620833
h3,f2,31,0.999999,0.5,0.851998,0.685563,0.84
f3,f2,32,1,0.333333,0.657919,0.685563,0.966667
f3,h3,32,0.999994,0.333333,0.805921,0.56,0.7
h5,h3,32,0.999994,0.666667,0.334537,0.56,0.46
h3,f1,32,1,0.5,0.659381,0.560741,0.85
f4,f1,32,1,0.5,0.163344,0.560741,0.46
f4,f2,32,1,0.5,0.292101,0.685563,0.71
f4,f3,32,0.999987,1,0.634183,0.626102,0.8275
f3,f4,33,0.999048,0.666667,0.634183,0.64,0.85
f3,h1,33,0.999845,0.333333,0.4744,0.6,0.5
h4,f2,33,1,0.5,0.490369,0.685563,0.5
h4,f3,33,0.999993,0.5,0.83245,0.626102,0.79
h4,h1,33,0.999845,0.5,0.367107,0.6,0.42
h4,h2,33,1,0,0.261497,0.540476,0.5
h1,f2,33,1,0.5,0.556362,0.685563,0.417143
h1,f3,33,0.999993,0.5,0.4744,0.626102,0.34
h1,h2,33,1,0.5,0.43937,0.540476,0.34
f3,h1,33,0.999845,0.333333,0.4744,0.6,0.5
f3,f2,33,1,0.333333,0.657919,0.685563,0.97
f3,h2,33,1,0.333333,0.428662,0.540476,0.63
f4,f3,33,0.999993,1,0.634183,0.626102,0.846667
f4,h1,33,0.999845,0.5,0.212492,0.6,0.7
f4,h2,33,1,0,0.0635079,0.540476,0.5
h2,f1,33,1,0.5,0.685799,0.560741,0.523333
h2,h1,33,0.999845,0.5,0.43937,0.6,0.5
f3,h2,33,1,0.333333,0.428662,0.540476,0.63
f3,h1,33,0.999845,0.333333,0.4744,0.6,0.5
f3,f1,33,1,0.333333,0.502559,0.560741,0.433333
f3,f2,33,1,0.333333,0.657919,0.685563,0.652727
f3,f4,33,0.999048,0.666667,0.634183,0.64,0.9
